protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score
PCBP2,Q15366,AKT2,P31751,1,0.860186019,1,3.48032038583921e-08,5.70593515444339e-05,0.001142207,0.037212523,0.000472651,0.373324943,409,0,71,TRUE,TRUE
PCBP2,Q15366,CIRBP,Q14011,0.9809981,0.861386139,1,3.54326072720801e-10,1.06208179200268e-06,0.001142207,0.037212523,0.00155472,0.021385781,277,0,113,TRUE,TRUE
PCBP2,Q15366,DNAJB1,P25685,1,0.880988099,1,1.78124516825992e-08,3.21905982045275e-05,0.001142207,0.037212523,0.000804549,0.170717292,240,0,71,TRUE,TRUE
PCBP2,Q15366,EIF4B,P23588,0.850585059,0.666766677,0.95939594,1.68273578254628e-07,0.000221692,0.001142207,0.037212523,0.001395493,0.043724871,585,0,113,TRUE,TRUE
PCBP2,Q15366,EIF4E,P06730,0.98119812,0.833183318,1,8.29570325393326e-09,1.66828153682887e-05,0.001142207,0.037212523,0.000990144,0.075920078,801,0,273,TRUE,TRUE
PCBP2,Q15366,EIF4G1,Q04637,1,0.869986999,1,8.22849810724654e-09,1.655608575684e-05,0.001142207,0.037212523,0.000709845,0.118466449,792,0,161,TRUE,TRUE
PCBP2,Q15366,HEXIM1,O94992,1,0.868586859,1,2.89548461711944e-08,4.86518078953433e-05,0.001142207,0.037212523,0.001724727,0,324,292,0,TRUE,TRUE
PCBP2,Q15366,HNRNPK,P61978,1,0.893989399,1,5.37245733886048e-09,1.14259740719371e-05,0.001142207,0.037212523,0.000560959,0.431363158,941,292,45,TRUE,TRUE
PCBP2,Q15366,ILKAP,Q9H0C8,1,0.890789079,1,4.56543791098409e-08,7.24907748893778e-05,0.001142207,0.037212523,0.001053838,0.056659792,210,0,69,TRUE,TRUE
PCBP2,Q15366,MARS1,P56192,1,0.867786779,1,1.30636398551357e-08,2.46418079869157e-05,0.001142207,0.037212523,0.000953332,0.07049159,347,0,95,TRUE,TRUE
PCBP2,Q15366,NFKB1,P19838,1,0.910391039,1,5.10187761391822e-10,1.45011536683514e-06,0.001142207,0.037212523,0.001270482,0.031937511,305,164,48,TRUE,TRUE
PCBP2,Q15366,PARK7,Q99497,1,0.894989499,1,2.05832707219629e-10,6.57876441975812e-07,0.001142207,0.037212523,0.001763492,0.005764441,162,0,91,TRUE,TRUE
